County,meanElev,pH,Max NDVI,Mean NDVI,mean Tmax,mean Tmin,Hargreaves PET,Precipitation,Temp_range
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Kilifi,147.5637627,6.479316464645482,0.44841999999999993,0.15804999999999997,31.524207999999998,22.976628,4.6266039999999995,586.9660916666667,8.547579999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.524207999999998,22.976628,4.6266039999999995,586.9660916666667,8.547579999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.717675,14.2075375,3.929479166666667,1912.9077,9.510137499999999
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.524207999999998,22.976628,4.6266039999999995,586.9660916666667,8.547579999999996
Kericho,1971.908546,5.581916293774356,0.5965333333333334,0.3885166666666666,28.543782608695654,17.991508695652175,4.638413043478261,2050.9835166666667,10.552273913043479
Siaya,1211.014926,5.936669177236241,0.5778333333333333,0.34068888888888893,25.537911538461533,21.943434615384618,2.731488461538462,2088.4157250000003,3.5944769230769147
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.484946153846156,23.02595,4.600938461538461,586.9660916666667,8.458996153846154
Kericho,1971.908546,5.581916293774356,0.5965333333333334,0.3885166666666666,28.543782608695654,17.991508695652175,4.638413043478261,2050.9835166666667,10.552273913043479
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Kilifi,147.5637627,6.479316464645482,0.44306999999999996,0.15445,31.484946153846156,23.02595,4.600938461538461,586.9660916666667,8.458996153846154
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Kakamega,1519.382147,5.667085342542705,0.5862833333333334,0.3605333333333333,28.16661739130435,16.722634782608697,4.717304347826087,2073.0085,11.443982608695652
Kericho,1971.908546,5.581916293774356,0.5965333333333334,0.3885166666666666,28.543782608695654,17.991508695652175,4.638413043478261,2050.9835166666667,10.552273913043479
Nakuru,2139.435021,6.158772747176582,0.6037916666666666,0.33513333333333334,22.54380434782609,12.515130434782607,3.8914695652173914,1147.933525,10.028673913043482
Kisii,1746.27962,5.391274149014031,0.60595,0.3797125,25.677067999999995,15.651224,4.24446,1822.552375,10.025843999999996
Meru,1501.698298,6.191468566171219,0.5723285714285715,0.13764285714285715,27.809520000000003,17.488224,4.521796,968.745075,10.321296000000004
Nandi,1917.119505,5.614627516425132,0.6439875,0.41594999999999993,23.781747999999997,14.197180000000001,3.9460200000000003,1912.9077,9.584567999999996
Kisii,1746.27962,5.391274149014031,0.60595,0.3797125,25.677067999999995,15.651224,4.24446,1822.552375,10.025843999999996
Kisii,1746.27962,5.391274149014031,0.60595,0.3797125,25.677067999999995,15.651224,4.24446,1822.552375,10.025843999999996
Kisii,1746.27962,5.391274149014031,0.60595,0.3797125,25.677067999999995,15.651224,4.24446,1822.552375,10.025843999999996
Migori,1343.795281,5.898413450078071,0.5884625,0.23243749999999996,27.481741666666665,19.857675,3.9939083333333336,1424.9367083333334,7.624066666666664
Migori,1343.795281,5.898413450078071,0.5884625,0.23243749999999996,27.481741666666665,19.857675,3.9939083333333336,1424.9367083333334,7.624066666666664
Migori,1343.795281,5.898413450078071,0.5884625,0.23243749999999996,27.481741666666665,19.857675,3.9939083333333336,1424.9367083333334,7.624066666666664
Nandi,1917.119505,5.614627516425132,0.6462222222222223,0.4176555555555555,23.702783333333333,14.251891666666666,3.9164833333333333,1912.9077,9.450891666666667
Migori,1343.795281,5.898413450078071,0.5884625,0.23243750000000002,27.36868260869565,19.919621739130434,3.9476043478260876,1424.9367083333334,7.449060869565216
Kericho,1971.908546,5.581916293774356,0.6016,0.3910857142857143,28.432139130434784,18.016804347826085,4.601052173913043,2050.9835166666667,10.4153347826087
Kilifi,147.5637627,6.479316464645482,0.44010000000000005,0.1545888888888889,31.45121923076923,23.107115384615387,4.569619230769231,586.9660916666667,8.344103846153843
Migori,1343.795281,5.898413450078071,0.5884625,0.23243750000000002,27.384104166666663,19.902354166666665,3.9548375,1424.9367083333334,7.481749999999998
Kisii,1746.27962,5.391274149014031,0.610588888888889,0.38298888888888893,25.619591999999997,15.6831,4.221896,1822.552375,9.936491999999998
