,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
0,Jumbo Agrovet Limited,Agrochemicals supplier,-1.2885866,36.8284003,POINT (36.8284003 -1.2885866),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
1,Skylab Cropcare Limited/ Agrovet,Hardware store,-1.28563,36.830521,POINT (36.830521 -1.28563),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
2,"Farmers World Limited-(Agrovet), Nairobi",Agricultural service,-1.2789934,36.82042,POINT (36.82042 -1.2789934),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
3,Masimba Agrovet Ltd,Agrochemicals supplier,-1.2772066,36.9085091,POINT (36.9085091 -1.2772066),Nairobi,Embakasi Central Sub County,Kayole South Ward,POINT (36.913987817584676 -1.2778353677648795)
4,Kasarani Agrovet online deliveries Nairobi,Animal feed store,-1.2170228,36.8953518,POINT (36.8953518 -1.2170228),Nairobi,Kasarani  Sub County,Kasarani Ward,POINT (36.89186338992849 -1.228744468926531)
5,AGRIGUARD Agrovet,Agrochemicals supplier,-1.2830722,36.823876,POINT (36.823876 -1.2830722),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
6,Ciira Agrovet Supplies Limited,Agricultural service,-1.2807645,36.8244836,POINT (36.8244836 -1.2807645),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
7,Arise And Shine Agrovet,Fertilizer supplier,-1.2884592,36.8302991,POINT (36.8302991 -1.2884592),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
8,Kahawa West Agrovet Services,Animal feed store,-1.1835391,36.9004487,POINT (36.9004487 -1.1835391),Nairobi,Roysambu  Sub County,Kahawa,POINT (36.90626171541014 -1.191511646330229)
9,Mifugo Agrovet centre,Agrochemicals supplier,-1.2882678,36.828985,POINT (36.828985 -1.2882678),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
10,Wibiliv Wakulima Mashinani Agrovet,Agricultural service,-1.2866874,36.8275651,POINT (36.8275651 -1.2866874),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
11,GOOD HEARTS AGROVET,Agricultural service,-1.2882382,36.8285738,POINT (36.8285738 -1.2882382),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
12,AECARE AGROVET LTD,Agrochemicals supplier,-1.2875561,36.8285822,POINT (36.8285822 -1.2875561),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
13,Guelph Enterprise Agrovet,Agricultural service,-1.281934,36.8262094,POINT (36.8262094 -1.281934),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
14,Jambar Agrovet Ltd,Agricultural product wholesaler,-1.2873912,36.8282582,POINT (36.8282582 -1.2873912),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
15,SHAMBA AGROVET,Farm equipment supplier,-1.2706541,36.846857,POINT (36.846857 -1.2706541),Nairobi,Kamukunji  Sub County,Eastleigh North Ward,POINT (36.847778519874915 -1.2730815078677313)
16,Nairobi Mega Agrovet Services Ltd,Veterinarian,-1.3271643,36.8519537,POINT (36.8519537 -1.3271643),Nairobi,Starehe  Sub County,Nairobi South Ward,POINT (36.85066239007016 -1.3196059930467552)
17,Limuru Agrovet Suppliers,Arborist service,-1.2836681,36.8248773,POINT (36.8248773 -1.2836681),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
18,Farmers Solution Agrovet,Veterinary care,-1.2855356,36.8232833,POINT (36.8232833 -1.2855356),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
19,Agro-Pests Solutions Agrovet (Githurai branch),Agrochemicals supplier,-1.2070373,36.9150568,POINT (36.9150568 -1.2070373),Kiambu,Ruiru Sub County,Mwiki Ward,POINT (36.92161543319148 -1.2126948080023345)
20,Nikifarmcare E A Ltd,General store,-1.2782927,36.8196975,POINT (36.8196975 -1.2782927),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
21,Mwiki Agrovet,Agrochemicals supplier,-1.2359729,36.9353572,POINT (36.9353572 -1.2359729),Nairobi,Kasarani  Sub County,Mwiki Ward,POINT (36.96028210384881 -1.235856836937653)
22,NAWESO AGROVET,Agrochemicals supplier,-1.2645935,36.7461164,POINT (36.7461164 -1.2645935),Nairobi,Westlands  Sub County,Kangemi Ward,POINT (36.752588821356014 -1.268162560721814)
23,Neta Agri Supplies,Agricultural service,-1.2873472,36.8282666,POINT (36.8282666 -1.2873472),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
24,Githurai 45 Agrovet,Hay supplier,-1.2080962,36.9261452,POINT (36.9261452 -1.2080962),Kiambu,Ruiru Sub County,Kiuu Ward,POINT (36.93352098744769 -1.2090603087425664)
25,Thome Agrovet & Animal Feeds,Veterinary care,-1.2111124,36.875128,POINT (36.875128 -1.2111124),Nairobi,Roysambu  Sub County,Roysambu Ward,POINT (36.862871637135356 -1.225884293987824)
26,Kulima Agrovet Centre,Agricultural service,-1.2885765,36.8283297,POINT (36.8283297 -1.2885765),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
27,Bonnie Agrovet Shop,Agrochemicals supplier,-1.2134096,36.9049005,POINT (36.9049005 -1.2134096),Nairobi,Kasarani  Sub County,Clay City,POINT (36.91637398274468 -1.2224437542147597)
28,KUZA AGROVET,Agrochemicals supplier,-1.2880543,36.8293241,POINT (36.8293241 -1.2880543),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
30,B-Plan AGROVET,Veterinary care,-1.2822443,36.9035779,POINT (36.9035779 -1.2822443),Nairobi,Embakasi Central Sub County,Komarock Ward,POINT (36.908579039405026 -1.2692012207717447)
31,VETMA AGROVET,Veterinarian,-1.3077989,36.9034356,POINT (36.9034356 -1.3077989),Nairobi,Embakasi East Sub County,Utawala Ward,POINT (36.899748760998314 -1.312641969698535)
32,One way Agrovet,Store,-1.2875196,36.8287185,POINT (36.8287185 -1.2875196),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
33,Apechem Agrovet,General store,-1.2835342,36.8208583,POINT (36.8208583 -1.2835342),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
34,Kilimo Central Agrovet,Veterinary care,-1.283821,36.8300316,POINT (36.8300316 -1.283821),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
35,Carefarm Agrovet ruaka square,Agricultural service,-1.206174,36.7819658,POINT (36.7819658 -1.206174),Kiambu,Kiambaa Sub County,Ndenderu Ward,POINT (36.74650037861791 -1.1984892987208597)
36,AgroPests Solutions Agrovet,Agricultural production,-1.2876259,36.8300187,POINT (36.8300187 -1.2876259),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
37,Jomoh Agrovet Shop,Hay supplier,-1.319272,36.850078,POINT (36.850078 -1.319272),Nairobi,Starehe  Sub County,Nairobi South Ward,POINT (36.85066239007016 -1.3196059930467552)
38,Micmos Agrovet and Animal feeds,Animal feed store,-1.201234,36.8348476,POINT (36.8348476 -1.201234),Kiambu,Kiambu Town Sub County,Kiambu Township Ward,POINT (36.843966458691526 -1.1890333639406165)
39,Uwezo Agrovet,Agrochemicals supplier,-1.2852073,36.831734,POINT (36.831734 -1.2852073),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
40,Elgon Kenya Ltd,Agrochemicals Supplier,-1.333013,36.865387,POINT (36.865387 -1.333013),Nairobi,Langata  Sub County,South C Ward,POINT (36.87642709617997 -1.3411940499031167)
42,NIKIFARM AGROVET SUPPLIES,Veterinarian,-1.279432,36.826318,POINT (36.826318 -1.279432),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
43,Agrovet & Animal Feeds,Veterinary care,-1.2601536,36.8786791,POINT (36.8786791 -1.2601536),Nairobi,Mathare  Sub County,Kiamaiko Ward,POINT (36.87639516120601 -1.2568860136633817)
44,Lemuma Agrovet,Veterinary care,-1.2873198,36.8269604,POINT (36.8269604 -1.2873198),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
45,Jumbo Agrovet,Farm equipment supplier,-1.2640211,36.7202331,POINT (36.7202331 -1.2640211),Kiambu,Kabete Sub County,Uthiru Ward,POINT (36.714064249472635 -1.2541059048443486)
46,The Vine Agrovet,Veterinary care,-1.2338467,36.8691096,POINT (36.8691096 -1.2338467),Nairobi,Roysambu  Sub County,Roysambu Ward,POINT (36.862871637135356 -1.225884293987824)
47,Vetagro & Pulpers Company Ltd.,Agrochemicals supplier,-1.2815722,36.8266074,POINT (36.8266074 -1.2815722),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
48,Blessed Farm Agrovet_Utawala-Embakasi- Nairobi,Agricultural service,-1.2836133,36.9709759,POINT (36.9709759 -1.2836133),Nairobi,Embakasi East Sub County,Mihango Ward,POINT (36.954060641034935 -1.275270503807446)
49,Kamro Agrovet Ltd,General store,-1.2872585,36.8271301,POINT (36.8271301 -1.2872585),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
50,Vetagro,Veterinary care,-1.279829,36.8216108,POINT (36.8216108 -1.279829),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
51,Geosim Ltd (Agrovet),Veterinarian,-1.2858993,36.8304881,POINT (36.8304881 -1.2858993),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
52,Wakulima Agro - Vet,Agricultural service,-1.2636629,36.7191095,POINT (36.7191095 -1.2636629),Nairobi,Dagoretti South Sub County,Uthiru/ruthimitu Ward,POINT (36.70731491333092 -1.2720294282701312)
53,Brilliance House Agrovet,Agricultural product wholesaler,-1.1710437,36.8280228,POINT (36.8280228 -1.1710437),Kiambu,Kiambu Town Sub County,Kiambu Township Ward,POINT (36.843966458691526 -1.1890333639406165)
54,Murimi Agrovet,Veterinary care,-1.2882664,36.8290097,POINT (36.8290097 -1.2882664),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
55,Amiran Kenya Ltd,Agricultural service,-1.3253768,36.898321,POINT (36.898321 -1.3253768),Nairobi,Embakasi South Sub County,Pipeline Ward,POINT (36.90392195714259 -1.33786236446038)
56,Felison Agrovet,Animal hospital,-1.173178,36.8313286,POINT (36.8313286 -1.173178),Kiambu,Kiambu Town Sub County,Kiambu Township Ward,POINT (36.843966458691526 -1.1890333639406165)
57,Unique Agrovet Supplies,Animal feed store,-1.2491426,36.9426146,POINT (36.9426146 -1.2491426),Nairobi,Kasarani  Sub County,Njiru Ward,POINT (36.928852667104344 -1.2512638492561308)
58,Kenya Umezo Agrovet Centre Ltd,Veterinary care,-1.2883059,36.8289069,POINT (36.8289069 -1.2883059),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
59,Fur World Agrovet and Animal Feeds,Veterinary pharmacy,-1.2334949,36.9294856,POINT (36.9294856 -1.2334949),Nairobi,Kasarani  Sub County,Mwiki Ward,POINT (36.96028210384881 -1.235856836937653)
60,Coast Farmcare Agrovet,Agrochemicals supplier,-4.0545074,39.6673777,POINT (39.6673777 -4.0545074),Mombasa,Mvita  Sub County,Tononoka Ward,POINT (39.66909542060041 -4.049379028088957)
61,Afyavet Agrovet Supplies,Agrochemicals supplier,-4.0569952,39.6919286,POINT (39.6919286 -4.0569952),Mombasa,Nyali  Sub County,Mkomani Ward,POINT (39.695127637875466 -4.049865665690604)
62,Farmplus Agrovet LTD,Pharmacy,-4.0564206,39.6693488,POINT (39.6693488 -4.0564206),Mombasa,Mvita  Sub County,Tononoka Ward,POINT (39.66909542060041 -4.049379028088957)
63,Keenpris agrovet,Animal feed store,-3.9681829,39.7218083,POINT (39.7218083 -3.9681829),Mombasa,Kisauni  Sub County,Shanzu Ward,POINT (39.73116234781769 -3.9805199546014007)
64,Golini Misamu Agrovet,Agrochemicals supplier,-4.1749853,39.4537916,POINT (39.4537916 -4.1749853),Kwale,Matuga Sub County,Tsimba Golini Ward,POINT (39.506188628002974 -4.1644908137826215)
65,Matuga Mbele Enterprise (Agrovet),Agrochemicals supplier,-4.1721267,39.4516625,POINT (39.4516625 -4.1721267),Kwale,Matuga Sub County,Tsimba Golini Ward,POINT (39.506188628002974 -4.1644908137826215)
66,Mkulima Agrovet,Agrochemicals supplier,-3.6302494,39.8532355,POINT (39.8532355 -3.6302494),Kilifi,Kilifi North Sub County,Sokoni Ward,POINT (39.8662693431009 -3.6171102370378376)
67,Jena Farm Care,Agrochemicals supplier,-3.63207,39.8531907,POINT (39.8531907 -3.63207),Kilifi,Kilifi North Sub County,Sokoni Ward,POINT (39.8662693431009 -3.6171102370378376)
68,Umoja Agrovet,Veterinary care,-3.5378925,39.8791134,POINT (39.8791134 -3.5378925),Kilifi,Kilifi North Sub County,Tezo Ward,POINT (39.884559017130854 -3.5415384222148205)
69,Magura Agrovet,Agrochemicals supplier,-1.4985745,40.0330333,POINT (40.0330333 -1.4985745),TANA RIVER,Galole Sub County,Chewani Ward,POINT (39.996586471571064 -1.3520791499124356)
70,Mavuno Agrovet,Agricultural service,-1.1449803,37.5446158,POINT (37.5446158 -1.1449803),Machakos,Yatta Sub County,Matuu Ward,POINT (37.560065764151084 -1.1397978746268431)
71,Skylab Cropcare Limited/ Agrovet,Hardware store,-1.28563,36.830521,POINT (36.830521 -1.28563),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
72,JOI AGROVET,Agrochemicals supplier,-0.9416284,37.6768635,POINT (37.6768635 -0.9416284),Machakos,Masinga Sub County,Kivaa Ward,POINT (37.76527243336557 -0.9344521657894264)
73,Lenana Agrovet,Agrochemicals supplier,-0.6431876,37.3885717,POINT (37.3885717 -0.6431876),KIRINYAGA,Kirinyaga South Sub County,Gathigiriri Ward,POINT (37.39181978325719 -0.6600447371528825)
74,Masimba Agrovet Ltd,Agrochemicals supplier,-1.2772066,36.9085091,POINT (36.9085091 -1.2772066),Nairobi,Embakasi Central Sub County,Kayole South Ward,POINT (36.913987817584676 -1.2778353677648795)
75,NJAUIMWE AGROVET KARURUMO,Agrochemicals supplier,-0.4695458,37.6548264,POINT (37.6548264 -0.4695458),EMBU,Runyenjes  Sub County,Kyeni south Ward,POINT (37.64816601451169 -0.4467456546020977)
76,Frael Agrovet- Kwa Mutisya,Agrochemicals supplier,-0.9702585,37.4750918,POINT (37.4750918 -0.9702585),Machakos,Masinga Sub County,Ekalakala Ward,POINT (37.51301078624587 -0.9867286840947636)
77,JANAM AGROVET & VETERINARY SERVICES.,Veterinary pharmacy,-1.2210229,36.7141068,POINT (36.7141068 -1.2210229),Kiambu,Kabete Sub County,Kabete Ward,POINT (36.725152690873145 -1.2306053396852799)
78,KAKUKU AGROVET,Veterinary pharmacy,-0.9204132,37.4741304,POINT (37.4741304 -0.9204132),Machakos,Masinga Sub County,Ekalakala Ward,POINT (37.51301078624587 -0.9867286840947636)
79,Agrisel Ltd Agrovet,Veterinary care,-1.1443289,37.5454648,POINT (37.5454648 -1.1443289),Machakos,Yatta Sub County,Matuu Ward,POINT (37.560065764151084 -1.1397978746268431)
80,Lukenya Agrovet Supplies Ltd,Agricultural service,-1.4354939,36.9729539,POINT (36.9729539 -1.4354939),Machakos,Athi River Sub County,Mathatani Ward,POINT (37.078558576313995 -1.3615165551391075)
81,VETMA AGROVET,Veterinarian,-1.3077989,36.9034356,POINT (36.9034356 -1.3077989),Nairobi,Embakasi East Sub County,Utawala Ward,POINT (36.899748760998314 -1.312641969698535)
82,Tanaka Agrovet,Animal feed store,-1.2666643,37.3212903,POINT (37.3212903 -1.2666643),Machakos,Matungulu Sub County,Tala Ward,POINT (37.31620455971337 -1.2692362826057177)
83,Plum Agrovet,Agrochemicals supplier,-1.1470497,37.5480186,POINT (37.5480186 -1.1470497),Machakos,Yatta Sub County,Matuu Ward,POINT (37.560065764151084 -1.1397978746268431)
84,Sabannah Agrovet Ent,Agrochemicals supplier,-1.2668251,37.3201469,POINT (37.3201469 -1.2668251),Machakos,Matungulu Sub County,Tala Ward,POINT (37.31620455971337 -1.2692362826057177)
85,PI MODERN AGROVET,Agricultural production,-0.7515444,37.3163899,POINT (37.3163899 -0.7515444),KIRINYAGA,Kirinyaga North/Mwea West Sub County,Mutithi Ward,POINT (37.28014738576313 -0.6985932802234848)
86,Jumbo Agrovet Limited,Agrochemicals supplier,-1.2885866,36.8284003,POINT (36.8284003 -1.2885866),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
87,Jubilee Agrovet and Veterinary services,Agrochemicals supplier,-1.1829614,37.4456813,POINT (37.4456813 -1.1829614),Machakos,Yatta Sub County,Kithimani Ward,POINT (37.45743384069447 -1.1691846641706913)
88,Mwiki Agrovet,Agrochemicals supplier,-1.2359729,36.9353572,POINT (36.9353572 -1.2359729),Nairobi,Kasarani  Sub County,Mwiki Ward,POINT (36.96028210384881 -1.235856836937653)
89,CAPITAL AGROVET,Veterinary pharmacy,-1.206288,36.9307328,POINT (36.9307328 -1.206288),Kiambu,Ruiru Sub County,Kiuu Ward,POINT (36.93352098744769 -1.2090603087425664)
92,Limuru Agrovet Supplies,Animal feed store,-1.110863,36.642875,POINT (36.642875 -1.110863),Kiambu,Limuru Sub County,Limuru Central Ward,POINT (36.62759741143995 -1.126816444577222)
93,Nairobi Mega Agrovet Services Ltd,Veterinarian,-1.3271643,36.8519537,POINT (36.8519537 -1.3271643),Nairobi,Starehe  Sub County,Nairobi South Ward,POINT (36.85066239007016 -1.3196059930467552)
95,Vetagro,Veterinary care,-1.279829,36.8216108,POINT (36.8216108 -1.279829),Nairobi,Starehe  Sub County,Nairobi Central Ward,POINT (36.824809527717356 -1.2852558043391356)
97,LIVE FARM AGROVET AND SUPPLIES,Emergency veterinarian service,-1.5764299,36.9284014,POINT (36.9284014 -1.5764299),KAJIADO,Kajiado East Sub County,Kaputiei north Ward,POINT (36.875340832037544 -1.68681094845253)
98,Wakulima Agro - Vet,Agricultural service,-1.2636629,36.7191095,POINT (36.7191095 -1.2636629),Nairobi,Dagoretti South Sub County,Uthiru/ruthimitu Ward,POINT (36.70731491333092 -1.2720294282701312)
99,Joyland Agrovet,Agrochemicals supplier,-1.1737973,36.7546926,POINT (36.7546926 -1.1737973),Kiambu,Kiambaa Sub County,Karuri Ward,POINT (36.752666144737454 -1.1729312482892666)
100,HUDUMA AGROVET,Veterinary care,-1.1587116,36.8396352,POINT (36.8396352 -1.1587116),Kiambu,Kiambu Town Sub County,Riabai Ward,POINT (36.83742199518029 -1.1626607271594795)
101,Tala poultry centre and Agrovet,Veterinarian,-1.2665905,37.3209985,POINT (37.3209985 -1.2665905),Machakos,Matungulu Sub County,Tala Ward,POINT (37.31620455971337 -1.2692362826057177)
102,Grada Agrovet (Ruiru Farmers Centre),Agrochemicals supplier,-1.1477606,36.9610175,POINT (36.9610175 -1.1477606),Kiambu,Ruiru Sub County,Biashara Ward,POINT (36.94788868517335 -1.1552540981328228)
103,VetnVet Agrovet Animal Health Consultancy,Veterinary care,-1.1495852,36.9496002,POINT (36.9496002 -1.1495852),Kiambu,Ruiru Sub County,Biashara Ward,POINT (36.94788868517335 -1.1552540981328228)
104,AGRO POULTRY CENTRE,Veterinary pharmacy,-1.4600625,37.4373413,POINT (37.4373413 -1.4600625),Machakos,Mwala Sub County,Masii Ward,POINT (37.42918511314471 -1.4586243888547628)
105,Farmers Point Agrovet Kwa Njeri.,Veterinarian,-0.9367801,36.9045521,POINT (36.9045521 -0.9367801),Kiambu,Gatundu North Sub County,Gituamba Ward,POINT (36.85003722885198 -0.9007897469632289)
106,Amiran Kenya Ltd,Agricultural service,-1.3253768,36.898321,POINT (36.898321 -1.3253768),Nairobi,Embakasi South Sub County,Pipeline Ward,POINT (36.90392195714259 -1.33786236446038)
107,Ellidan Agrovet,Veterinary care,-1.1845359,37.447651,POINT (37.447651 -1.1845359),Machakos,Yatta Sub County,Kithimani Ward,POINT (37.45743384069447 -1.1691846641706913)
108,Trinity Agrovet and veterinary services,Veterinary pharmacy,-1.1698109,36.6674917,POINT (36.6674917 -1.1698109),Kiambu,Limuru Sub County,Ngecha Tigoni Ward,POINT (36.68525592438484 -1.1571096040624456)
109,New Wambugo AgroVET & M-PESA,Veterinarian,-1.1882938,36.7715707,POINT (36.7715707 -1.1882938),Kiambu,Kiambaa Sub County,Muchatha Ward,POINT (36.781150084263814 -1.1869685682395112)
110,Simvet Agrovet,Veterinary pharmacy,-0.8915524,37.0418362,POINT (37.0418362 -0.8915524),Muranga,Kandara Sub County,Kagundu-ini Ward,POINT (37.0713414856153 -0.9064292637087079)
111,Agrovet Animal Feeds,Veterinary care,-1.229665,36.6975391,POINT (36.6975391 -1.229665),Kiambu,Kabete Sub County,Gitaru,POINT (36.68969303833802 -1.2329204234240494)
112,Banana Hill Agrovet Suppliers,Veterinary care,-1.172839,36.7587911,POINT (36.7587911 -1.172839),Kiambu,Kiambaa Sub County,Karuri Ward,POINT (36.752666144737454 -1.1729312482892666)
113,Jagra Agrovet,Hay supplier,-1.4182773,36.7126677,POINT (36.7126677 -1.4182773),KAJIADO,Kajiado North Sub County,Olkeri Ward,POINT (36.69052250404085 -1.3987464240048053)
115,Farmline Agrovet,Agrochemicals supplier,-1.242412,37.4488998,POINT (37.4488998 -1.242412),Machakos,Mwala Sub County,Mbiuni Ward,POINT (37.416884132474735 -1.2388106287315037)
116,Utaati agrovet,Agrochemicals supplier,-2.4114381,37.9669249,POINT (37.9669249 -2.4114381),MAKUENI,Kibwezi West  Sub County,Kikumbulyu South Ward,POINT (37.99506638329876 -2.365820553577991)
117,FARMYARD AGROVET KITHIMANI,Agricultural service,-1.1835365,37.4462186,POINT (37.4462186 -1.1835365),Machakos,Yatta Sub County,Kithimani Ward,POINT (37.45743384069447 -1.1691846641706913)
118,Farmers Trend Limited,Agricultural service,-1.1695342,36.9702305,POINT (36.9702305 -1.1695342),Kiambu,Ruiru Sub County,Gatongora Ward,POINT (37.05306191074979 -1.198784483976087)
119,Agroline Equipment & Tools Limited (MyAgrovet Kenya),Farm equipment supplier,0.1545604,37.9083314,POINT (37.9083314 0.1545604),MERU,Tigania East Sub County,Thangatha Ward,POINT (37.92075184379554 0.0906404325905393)
120,Rayon Enterprises Agrovet,Animal feed store,-1.4772723,36.9568975,POINT (36.9568975 -1.4772723),KAJIADO,Kajiado East Sub County,Oloosirkon/sholinke Ward,POINT (36.83545259390289 -1.4724753045722156)
121,FARMER'S JOY AGROVET,Veterinary care,-0.8994064,37.0550943,POINT (37.0550943 -0.8994064),Muranga,Kandara Sub County,Kagundu-ini Ward,POINT (37.0713414856153 -0.9064292637087079)
123,Wony Agrovet Kathiani,Agrochemicals supplier,-1.41173,37.3299118,POINT (37.3299118 -1.41173),Machakos,Kathiani Sub County,Kathiani Central Ward,POINT (37.30548235540033 -1.4141456372677756)
124,Big vision agrovet,Animal feed store,-0.8710286,36.9103232,POINT (36.9103232 -0.8710286),Muranga,Gatanga Sub County,Kariara Ward,POINT (36.807785711737964 -0.8171632688787343)
125,Beracah Agrovet Stores,Pet store,-1.2737495,36.8948751,POINT (36.8948751 -1.2737495),Nairobi,Embakasi West Sub County,Mowlem Ward,POINT (36.89692757821746 -1.2660961182792434)
126,Farmers Senta Agrovet,Veterinary care,-1.6617464,37.4473624,POINT (37.4473624 -1.6617464),MAKUENI,Mbooni  Sub County,Mbooni Ward,POINT (37.440452928274254 -1.648842535425796)
127,Agrovet,Veterinary care,-1.062527,36.7211343,POINT (36.7211343 -1.062527),Kiambu,Githunguri Sub County,Githiga Ward,POINT (36.7246527829941 -1.0761889675128684)
128,Online Virtual Agrovet,Agricultural service,-1.1694016,36.9703341,POINT (36.9703341 -1.1694016),Kiambu,Ruiru Sub County,Gatongora Ward,POINT (37.05306191074979 -1.198784483976087)
129,Josemo Agrovet,Agrochemicals supplier,-0.6773215,34.7795459,POINT (34.7795459 -0.6773215),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
130,Stans Agrovet Distributors,Agrochemicals supplier,-0.6716199,34.7704648,POINT (34.7704648 -0.6716199),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
131,Farmers Agrovet,Veterinarian,-0.6732056,34.7740647,POINT (34.7740647 -0.6732056),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
132,Adams Agrovet,Animal feed store,-0.651095,34.7520956,POINT (34.7520956 -0.651095),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
133,Anipro Feeds & Agrovet.,Agrochemicals supplier,-0.673763,34.771479,POINT (34.771479 -0.673763),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
134,Jambo Agrovet,Veterinary care,-0.6723527,34.7721577,POINT (34.7721577 -0.6723527),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
135,RONAK AGROVET LTD,Veterinary care,-0.671633,34.7706321,POINT (34.7706321 -0.671633),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
136,Omoremi Agrovet,Veterinary care,-0.6741979,34.7727129,POINT (34.7727129 -0.6741979),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
137,Shivling Agrovet,Agrochemicals supplier,-0.6768173,34.7714176,POINT (34.7714176 -0.6768173),Kisii,Nyaribari Chache  Sub County,Kisii Central Ward,POINT (34.76450650920702 -0.7049134491812481)
138,Enochem Agro - Vet,Veterinary care,-0.6720594,34.7701413,POINT (34.7701413 -0.6720594),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
139,Mazao Agrovet,8QHC+8P9,-0.6717144,34.7718439,POINT (34.7718439 -0.6717144),Kisii,Kitutu Chache South Sub County,Kisii Central Ward,POINT (34.764737394345524 -0.6641606742862575)
140,Nyamira Mashambani Stores Agrovet,Agricultural service,-0.579485,34.9349989,POINT (34.9349989 -0.579485),Nyamira,Nyamira Sub County,Township Ward,POINT (34.93556685998196 -0.5687379254849476)
141,MOSOBA AGROVET,Veterinary care,-0.5775142,34.9349848,POINT (34.9349848 -0.5775142),Nyamira,Nyamira Sub County,Township Ward,POINT (34.93556685998196 -0.5687379254849476)
142,Township Agrovet And Town Centre,Agricultural service,-0.5772685,34.9353294,POINT (34.9353294 -0.5772685),Nyamira,Nyamira Sub County,Township Ward,POINT (34.93556685998196 -0.5687379254849476)
