,Title,Category,Latitude,Longitude,geometry,county,subcounty,ward,centroid
1060,Rift Farmers Agrovet,Agrochemicals supplier,0.8760018,35.1202517,POINT (35.1202517 0.8760018),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1061,Farm Agrovet,Veterinary care,1.0162681,35.0016835,POINT (35.0016835 1.0162681),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1062,Deutee Agrovet,Agricultural service,1.0190484,35.0022151,POINT (35.0022151 1.0190484),TRANS NZOIA,Saboti  Sub County,Tuwani Ward,POINT (34.990470961186595 1.0264236024324973)
1063,Jikaze Agrovet,Veterinary care,1.1979346,34.8189066,POINT (34.8189066 1.1979346),TRANS NZOIA,Endebess Sub County,Chepchoina Ward,POINT (34.772140396767135 1.1795398430073292)
1064,Kapkisem Agrovet/M-Pesa,Home goods store,1.0190788,35.0022822,POINT (35.0022822 1.0190788),TRANS NZOIA,Kwanza  Sub County,Bidii Ward,POINT (35.01564522284264 1.0482045519961816)
1065,Marambach Farmers Agrovet,Agrochemicals supplier,1.0054009,34.9191758,POINT (34.9191758 1.0054009),TRANS NZOIA,Saboti  Sub County,Kinyoro Ward,POINT (34.83162377536358 0.9954215690498321)
1066,Ronak Agrovet Ltd,Pet store,1.0176887,35.0017982,POINT (35.0017982 1.0176887),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1067,Zaro Agrovet,Farm equipment repair service,1.0164591,35.0013381,POINT (35.0013381 1.0164591),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1068,Testai Agrovet,Agricultural service,0.8769547,35.1199614,POINT (35.1199614 0.8769547),Uasin Gishu,Soy Sub County,Moi's Bridge Ward,POINT (35.1668646430247 0.8910557301730416)
1069,Mazop Enterprises Ltd,Agricultural service,1.0138693,35.0027642,POINT (35.0027642 1.0138693),TRANS NZOIA,Saboti  Sub County,Matisi Ward,POINT (34.97465905661398 0.9966624894416383)
1070,Brand Agro Limited,Agrochemicals supplier,1.038479,35.0333699,POINT (35.0333699 1.038479),TRANS NZOIA,Kwanza  Sub County,Bidii Ward,POINT (35.01564522284264 1.0482045519961816)
